"('breast', 'cancer', 'risk')",191
"('cancer', 'epidemiol', 'biomarkers')",125
"('risk', 'breast', 'cancer')",102
"('risk', 'colorectal', 'cancer')",101
"('prostate', 'cancer', 'risk')",95
"('cancer', 'causes', 'control')",67
"('total', 'cancer', 'incidence')",63
"('fruit', 'vegetable', 'intake')",58
"('postmenopausal', 'breast', 'cancer')",58
"('diet', 'quality', 'scores')",56
"('dietary', 'in\xef\xac\x82ammatory', 'index')",56
"('colorectal', 'cancer', 'risk')",55
"('total', 'energy', 'intake')",54
"('body', 'mass', 'index')",53
"('colon', 'rectal', 'cancer')",53
"('red', 'meat', 'consumption')",51
"('risk', 'colon', 'cancer')",49
"('investigation', 'cancer', 'nutrition')",48
"('red', 'processed', 'meat')",47
"('cox', 'proportional', 'hazards')",46
"('prospective', 'investigation', 'cancer')",45
"('quartile', 'quartile', 'quartile')",45
"('risk', 'rectal', 'cancer')",44
"('baseline', 'plasma', 'selenium')",41
"('total', 'cancer', 'mortality')",40
